orgname_old,orgname_new
DUT University: Delft University of Technology,DUT Delft University of Technology
Delft University of Technology,DUT Delft University of Technology
Technical University of Delft,DUT Delft University of Technology
Technische Universiteit Delft,DUT Delft University of Technology
TU Delft,DUT Delft University of Technology
Delft University of Technology (TU Delft),DUT Delft University of Technology
Technical University Delft,DUT Delft University of Technology
TU Delft (former),DUT Delft University of Technology
Technische Universiteit Delft BioMechanical Engineering,DUT Department: Biomechanical Engineering
TU Delft - Department Biomechanical Engineering,DUT Department: Biomechanical Engineering
TU Delft - Faculty of Architecture & the Built Environment,DUT Faculty: Architecture and the Built Environment
"Faculty of Technology, Policy and Management, Delft University of Technology","DUT Faculty: Technology, Policy and Management"
"Water Resources Section, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Delft, Netherlands",DUT Research Group: Water Resources
